Name,Count,Revenue,Average
Andrew,9,58,6.44
Phil,8,377,47.12
Madison,5,302,60.4
Sally,1,75,75.0
Tyler,1,334,334.0
Billy,7,146,20.86
Steve,1,178,178.0
Madison,7,313,44.71
Sarah,8,103,12.88
Tim,5,344,68.8
Andrew,5,349,69.8
Phil,8,61,7.62
Madison,4,196,49.0
Carl,1,374,374.0
Devon,9,220,24.44
Megan,9,321,35.67
Sarah,7,277,39.57
David,2,246,123.0
Sally,9,198,22.0
Tom,5,221,44.2
Andrew,1,191,191.0
Paul,5,399,79.8
Carl,1,300,300.0
Tim,1,345,345.0
Madison,4,202,50.5
John,4,305,76.25
Phil,6,249,41.5
Madison,7,113,16.14
Sally,6,256,42.67
