Date,Close
5/14/09,4.24
5/15/09,4.01
5/18/09,4.14
5/19/09,4.39
5/20/09,4.5
5/21/09,4.34
5/22/09,4.26
5/26/09,4.53
5/27/09,4.71
5/28/09,4.7
5/29/09,4.54
6/1/09,4.73
6/2/09,4.56
6/3/09,4.48
6/4/09,4.65
6/5/09,4.63
6/8/09,4.61
6/9/09,4.75
6/10/09,4.82
6/11/09,4.7
6/12/09,4.47
6/15/09,4.26
6/16/09,4.13
6/17/09,4.08
6/18/09,3.85
6/19/09,3.87
6/22/09,3.62
6/23/09,3.55
6/24/09,3.66
6/25/09,3.64
6/26/09,3.62
6/29/09,3.72
6/30/09,3.87
7/1/09,3.91
7/2/09,3.78
7/6/09,3.55
7/7/09,3.43
7/8/09,3.36
7/9/09,3.48
7/10/09,3.49
7/13/09,3.56
7/14/09,3.55
7/15/09,3.86
7/16/09,3.92
7/17/09,4
7/20/09,4.17
7/21/09,4.08
7/22/09,3.55
7/23/09,3.59
7/24/09,3.77
7/27/09,3.8
7/28/09,3.77
7/29/09,3.71
7/30/09,3.66
7/31/09,3.66
8/3/09,3.74
8/4/09,3.76
8/5/09,3.75
8/6/09,3.71
8/7/09,3.7
8/10/09,3.68
8/11/09,3.59
8/12/09,3.59
8/13/09,3.68
8/14/09,3.69
8/17/09,3.55
8/18/09,3.56
8/19/09,3.52
8/20/09,3.52
8/21/09,3.7
8/24/09,4
8/25/09,4.02
8/26/09,4.06
8/27/09,4.23
8/28/09,4.47
8/31/09,4.36
9/1/09,4.22
9/2/09,4.28
9/3/09,4.53
9/4/09,4.53
9/8/09,5.19
9/9/09,5.2
9/10/09,5.38
9/11/09,5.68
9/14/09,5.72
9/15/09,5.88
9/16/09,5.69
9/17/09,5.67
9/18/09,5.7
9/21/09,5.81
9/22/09,6.08
9/23/09,6.02
9/24/09,5.66
9/25/09,5.83
9/28/09,5.94
9/29/09,5.78
9/30/09,5.66
10/1/09,5.39
10/2/09,5.31
10/5/09,5.54
10/6/09,5.64
10/7/09,5.54
10/8/09,5.51
10/9/09,5.88
10/12/09,6.14
10/13/09,6.08
10/14/09,6.25
10/15/09,6.19
10/16/09,5.74
10/19/09,5.87
10/20/09,5.98
10/21/09,5.77
10/22/09,5.83
10/23/09,5.6
10/26/09,5.42
10/27/09,5.15
10/28/09,4.85
10/29/09,4.93
10/30/09,4.6
11/2/09,4.6
11/3/09,4.64
11/4/09,4.69
11/5/09,4.83
11/6/09,5.04
11/9/09,5.21
11/10/09,5.14
11/11/09,5.32
11/12/09,6.48
11/13/09,6.53
11/16/09,6.43
11/17/09,6.62
11/18/09,7.32
11/19/09,7.05
11/20/09,6.95
11/23/09,7
11/24/09,6.95
11/25/09,7.11
11/27/09,6.85
11/30/09,7.01
12/1/09,7.2
12/2/09,7.3
12/3/09,8.03
12/4/09,7.86
12/7/09,8.52
12/8/09,8.67
12/9/09,8.71
12/10/09,8.58
12/11/09,8.64
12/14/09,8.68
12/15/09,8.82
12/16/09,9.15
12/17/09,9.12
12/18/09,9.05
12/21/09,9.53
12/22/09,9.43
12/23/09,9.67
12/24/09,9.91
12/28/09,9.83
12/29/09,9.75
12/30/09,9.72
12/31/09,9.68
1/4/10,9.7
1/5/10,9.71
1/6/10,9.57
1/7/10,9.47
1/8/10,9.43
1/11/10,9.14
1/12/10,8.65
1/13/10,9.15
1/14/10,9
1/15/10,8.84
1/19/10,9.01
1/20/10,8.87
1/21/10,8.99
1/22/10,7.88
1/25/10,8.07
1/26/10,8.09
1/27/10,8.19
1/28/10,7.88
1/29/10,7.46
2/1/10,7.98
2/2/10,7.91
2/3/10,7.81
2/4/10,7.19
2/5/10,7.35
2/8/10,7.42
2/9/10,7.54
2/10/10,7.64
2/11/10,7.84
2/12/10,7.87
2/16/10,8.06
2/17/10,8.03
2/18/10,7.95
2/19/10,7.93
2/22/10,7.9
2/23/10,7.79
2/24/10,8.05
2/25/10,7.89
2/26/10,7.91
3/1/10,8.21
3/2/10,8.38
3/3/10,8.35
3/4/10,8.5
3/5/10,8.61
3/8/10,8.64
3/9/10,8.63
3/10/10,8.92
3/11/10,8.95
3/12/10,8.93
3/15/10,8.92
3/16/10,9.4
3/17/10,9.67
3/18/10,9.39
3/19/10,9.11
3/22/10,9.31
3/23/10,9.45
3/24/10,9.23
3/25/10,9.03
3/26/10,9.02
3/29/10,9.11
3/30/10,9.27
3/31/10,9.27
